"","weather_station_id","year","mean_tmpf","mean_precipitation","mean_humidity","mean_wind_Speed"
"1","AVX",2015,61.0119953488372,0.000904852337028137,69.7675478685683,6.43389990557129
"2","AVX",2016,60.1551780294618,0.0037198466657023,73.2330755765279,6.08187127221108
"3","AVX",2017,60.8006453099793,0.00772078685864936,73.8592308283978,6.17232785340124
"4","AVX",2018,60.286134007998,0.00610601889740347,69.0763680066307,6.00043687589158
"5","AVX",2019,58.3187837734987,0.0100219180741604,75.4775422567382,6.21778587587032
"6","BFL",2015,66.4928468071721,0.000685239542929028,50.5194786829886,4.63916657897506
"7","BFL",2016,67.4546995155139,0.00280153768844221,49.548961301297,4.9394277649474
"8","BFL",2017,67.6668442801218,0.00405562843638468,50.4574655737705,4.71745676519018
"9","BFL",2018,66.8491270509045,0.00371853007945516,50.0184166844009,4.74405781584582
"10","BFL",2019,66.0490284487386,0.00593700018258171,49.7250096628731,4.96620775969962
"11","DAG",2015,69.2783895929124,0.000445857094934586,31.750494635799,9.26026318749297
"12","DAG",2016,69.1465343240546,0.00114453846153846,32.9513783259107,8.99170592928213
"13","DAG",2017,68.9145390898483,0.00238745515816937,33.3792646886361,8.08933865762267
"14","DAG",2018,66.3470432357043,0.00154716905901116,34.6956317638791,8.8788962285114
"15","DAG",2019,66.1887504367067,0.00484358065860775,37.2497903808082,9.47444111637871
"16","L35",2015,46.1903114186851,0.000423937274194788,52.1775613225682,3.82837370242215
"17","L35",2016,46.5844692780045,0.000568519789521849,49.8806617338571,3.78488882108395
"18","L35",2017,47.3632525951557,0.000446562391914223,47.108886709737,3.97500480676793
"19","L35",2018,47.0359802154825,0.000573767356462533,48.335557055262,3.72871606074551
"20","L35",2019,44.593665123752,0.000865061162079511,51.7006384606557,4.10156847742923
"21","BLH",2015,75.8680328791803,0.000662501407182258,33.6984163459362,7.0505999547204
"22","BLH",2016,76.1452798756108,0.00212541707556428,31.4835129285796,7.21145629759418
"23","BLH",2017,76.3072127827163,0.0028921327014218,31.9658466236851,6.57734941086795
"24","BLH",2018,76.9025543753161,0.00186303497187576,29.0129788867562,6.87242013005372
"25","BLH",2019,73.7973944703607,0.00297483972674724,33.5502207304585,6.8673624288425
"26"," L08",2015,NA,NA,NA,NA
"27"," L08",2016,NA,NA,NA,NA
"28"," L08",2017,NA,NA,NA,NA
"29"," L08",2018,NA,NA,NA,NA
"30"," L08",2019,NA,NA,NA,NA
"31","SDM",2015,64.0820879926673,0.0019693583868011,71.1589703315881,4.24766877927804
"32","SDM",2016,62.8258089704013,0.00468204350025291,72.4152009521194,4.2563856570905
"33","SDM",2017,62.603931442707,0.006750452079566,75.699993786063,4.15131507641172
"34","SDM",2018,62.7082706766917,0.00541217965653897,71.9302565362689,4.35163404726736
"35","SDM",2019,60.8710796113043,0.0109017853223092,74.3823399322276,4.20391427373716
"36","BUR",2015,66.7396342637151,0.000801742942686056,53.2227540421887,3.99390439525184
"37","BUR",2016,65.085721997301,0.00380844213212918,57.0008240837696,4.36062032250598
"38","BUR",2017,65.9126747339871,0.00574315666336723,56.2155484613774,4.41106430257858
"39","BUR",2018,64.9522435557441,0.00687140751658069,62.1826437520077,4.49190947209977
"40","BUR",2019,62.9255787515502,0.0129476686467573,61.5850299772586,4.52421554349265
"41","L71",2015,NA,NA,NA,NA
"42","L71",2016,NA,NA,NA,NA
"43","L71",2017,NA,NA,NA,NA
"44","L71",2018,NA,NA,NA,NA
"45","L71",2019,NA,NA,NA,NA
"46","CMA",2015,64.2798511609446,0.000846656775469832,64.4395677290837,4.92903354235095
"47","CMA",2016,61.2547569164652,0.00543006019563582,68.9228940953413,4.69302834052917
"48","CMA",2017,62.7247885985748,0.00928823097027115,71.3876593301435,4.59443075210685
"49","CMA",2018,61.3543886429553,0.00847179387331256,67.5034667487685,4.91459816342231
"50","CMA",2019,60.7065031534688,0.0160005939356049,69.9552340902719,5.08033672233861
"51","CRQ",2015,64.3630322580645,0.00154306288576796,71.1777573364444,3.73132055187242
